"name","spm_support"
"TrackKit",TRUE
"Expression",TRUE
"NextLevelSessionExporter",TRUE
"SwifterSwift",TRUE
"ReactiveSwift",TRUE
"TDRedux.swift",TRUE
"SwiftlyExt",TRUE
"Reactions",TRUE
"NSManagedObject-HYPPropertyMapperLBC",TRUE
"LambdaKit",TRUE
"SwiftyHash",TRUE
"Apollo",TRUE
"ContactCircularView",TRUE
"StartAppsKitLoadAction",TRUE
"StartAppsKitJson",TRUE
"StartAppsKitLogger",TRUE
"Jessie",TRUE
"StartAppsKitExtensions",TRUE
"RandomUserSwift",TRUE
"RxKeyboard",TRUE
"Pill",TRUE
"SYNCPropertyMapper",TRUE
"XCFit",TRUE
"SwiftFormat",TRUE
"JSONX",TRUE
"TSToast",TRUE
"DATAFastQuery",TRUE
"GoSquaredAPI",TRUE
"RxTest",TRUE
"Slip",TRUE
"Regex.swift",TRUE
"TensorSwift",TRUE
"CoordinatorKit",TRUE
"Fallback",TRUE
"Swiftry",TRUE
"WizardViewController",TRUE
"KeychainStore",TRUE
"SwiftySQL",TRUE
"StreemMapper",TRUE
"SWCompression",TRUE
"FileSystem",TRUE
"LEB128",TRUE
"Reflection",TRUE
"YoutubeEngine",TRUE
"HFCardCollectionViewLayout",TRUE
"MoyaSugar",TRUE
"RxLens",TRUE
"SwiftNSQ",TRUE
"CDMarkdownKit",TRUE
"CDYelpFusionKit",TRUE
"arek",TRUE
"CrossNavigationController",TRUE
"OnlyDesignable",TRUE
"ZXFoundation",TRUE
"SubscriptionMonitor",TRUE
"StringFilter",TRUE
"GlueKit",TRUE
"SwiftNaiveBayes",TRUE
"SipHash",TRUE
"ObjectiveKit",TRUE
"JTMaterialSpinner",TRUE
"JHTAlertController",TRUE
"XOR",TRUE
"Bulldog",TRUE
"RichString",TRUE
"SwiftSoup",TRUE
"Sweeft",TRUE
"Overdrive",TRUE
"Serpent",TRUE
"SwiftEmoji",TRUE
"Diff",TRUE
"Pegota",TRUE
"Speller",TRUE
"NetworkSDK",TRUE
"DGDependencyInjector",TRUE
"RandomKitBigInt",TRUE
"LUExpandableTableView",TRUE
"TimetableSDK",TRUE
"SwipyCell",TRUE
"Sunrise",TRUE
"Blurry",TRUE
"ProcedureKit",TRUE
"RealDebridKit",TRUE
"SwiftVer",TRUE
"SourceKitten",TRUE
"EsaKit",TRUE
"StartAppsKitAlerts",TRUE
"StartAppsKitXml",TRUE
"DGFrameworkTemplate",TRUE
"BiometricAuth",TRUE
"pencil",TRUE
"SwiftyAnimate",TRUE
"AttributedTextView",TRUE
"Yams",TRUE
"StartAppsKit",TRUE
"QingStorSDK",TRUE
"QuerySerialization",TRUE
"Communicado",TRUE
"LocalizationKit",TRUE
"ArrayUpdater",TRUE
"Jupiter",TRUE
"TPGSwift",TRUE
"SwiftScanner",TRUE
"Framezilla",TRUE
"LoadIt",TRUE
"ShortCode",TRUE
"SwiftRichString",TRUE
"JetToTheFuture",TRUE
"SwiftString3",TRUE
"Suntimes",TRUE
"JSONDecodeKit",TRUE
"GlobeConnectSwift",TRUE
"Seam3",TRUE
"Lighty",TRUE
"KwizzadSDK",TRUE
"Veneer",TRUE
"Hero",TRUE
"SwiftLintFramework",TRUE
"FaunaDB",TRUE
"AAA",TRUE
"IPAPI",TRUE
"AsyncNinja",TRUE
"AugmentedButton",TRUE
"DGGridCollectionViewController",TRUE
"EGFormValidator",TRUE
"SwiftMeasurement",TRUE
"TFLog",TRUE
"SwiftyCam",TRUE
"App2WebHandoff",TRUE
"TextFormater",TRUE
"Themeable",TRUE
"SwiftyTextTable",TRUE
"Mokei",TRUE
"ParkKit",TRUE
"InstaZoom",TRUE
"Interstellar-Contentful",TRUE
"MockSix",TRUE
"KVConstraintKit",TRUE
"NimbleMockSix",TRUE
"UIPheonix",TRUE
"BitlyKit",TRUE
"StyleDecorator",TRUE
"GlobusSwifty",TRUE
"SimpleEncrypter",TRUE
"FiveUtils",TRUE
"FivePersistence",TRUE
"ResourcePackage",TRUE
"SourceKittenFramework",TRUE
"Relations",TRUE
"DGCollectionViewGridLayout",TRUE
"Phrase",TRUE
"BxInputController",TRUE
"Ditto-Swift",TRUE
"OpalImagePicker",TRUE
"LocalizedTimeAgo",TRUE
"JustJson",TRUE
"Papara",TRUE
"MMDB-Swift",TRUE
"TestHarness",TRUE
"Taps",TRUE
"DKDetailsParallax",TRUE
"Dratini",TRUE
"Resource",TRUE
"Swifjection",TRUE
"Outlaw",TRUE
"DGCollectionViewPaginableBehavior",TRUE
"ExtendedFoundation",TRUE
"Files",TRUE
"J",TRUE
"Hey",TRUE
"SuperLayout",TRUE
"Localize",TRUE
"Listenable",TRUE
"ws",TRUE
"HandyUIKit",TRUE
"SwiftLoggly",TRUE
"SwiftOrg",TRUE
"Sentry",TRUE
"Yakka",TRUE
"MusicalScaleKit",TRUE
"SwiftyLisp",TRUE
"SwipeCellKit",TRUE
"NxEnabled",TRUE
"Viscosity",TRUE
"DGCollectionViewLeftAlignFlowLayout",TRUE
"SwiftCSVExport",TRUE
"JSONParserSwift",TRUE
"ReusableView",TRUE
"IGZLocation",TRUE
"AnimatedCollectionViewLayout",TRUE
"NumericPicker",TRUE
"EFQRCode",TRUE
"ESTabBarController-swift",TRUE
"JSONBuilder",TRUE
"STXImageCache",TRUE
"GzipSwift",TRUE
"IHDesignableButton",TRUE
"NilCoalescingAssignmentOperators",TRUE
"Kee",TRUE
"PaginatedScrollView",TRUE
"JelloSwift",TRUE
"HydraAsync",TRUE
"FSDropIt",TRUE
"QuickRest",TRUE
